name	formula	state	pwd_xyz	energy	Mass	Na
SiC3H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC3H_2Pi.xyz	-403.580398	0.0	0
SiC2H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC2H_2Pi.xyz	-365.587632	0.0	0
AlCl	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/AlCl_1Sigma.xyz	-701.796356	0.0	0
OCS	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OCS_1Sigma.xyz	-510.933306	0.0	0
H2CS	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CS_1A1.xyz	-436.944579	0.0	0
S2	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/S2_3Sigma.xyz	-795.467737	0.0	0
SiC4	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC4_1Sigma.xyz	-440.956701	0.0	0
AlO	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/AlO_2Sigma.xyz	-317.093882	0.0	0
SiC8H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC8H_2Pi.xyz	-593.362940	0.0	0
H2S	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2S_1A1.xyz	-398.943621	0.0	0
H2SiC2H	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2SiC2H_2Ap.xyz	-366.816912	0.0	0
c-SiC2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-SiC2_1A1.xyz	-364.956163	0.0	0
CH3C2Si	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C2Si_2Ap.xyz	-404.835654	0.0	0
CP	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CP_2Sigma.xyz	-378.792334	0.0	0
C4P	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4P_2Pi.xyz	-492.803394	0.0	0
AlF	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/AlF_1Sigma.xyz	-341.811072	0.0	0
c-SiC3	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-SiC3_1A1.xyz	-402.922695	0.0	0
SiH4	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH4_1A1.xyz	-291.442788	0.0	0
H2SiS	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2SiS_1A1.xyz	-688.001179	0.0	0
HC2P	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC2P_3Sigma.xyz	-417.461410	0.0	0
H2SiO	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2SiO_1A1.xyz	-365.384981	0.0	0
CS	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CS_1Sigma.xyz	-435.701617	0.0	0
C2P	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2P_2Pi.xyz	-416.787185	0.0	0
C3P	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3P_2Pi.xyz	-454.797206	0.0	0
CH2PH	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2PH_1Ap.xyz	-380.710833	0.0	0
HF	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HF_1Sigma.xyz	-100.349577	0.0	0
NaOH	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NaOH_1Sigma.xyz	-237.627565	0.0	0
SiC4H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC4H_2Pi.xyz	-441.605947	0.0	0
HCNS	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCNS_1Ap.xyz	-490.982486	0.0	0
HCSi	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCSi_2Pi.xyz	-327.546895	0.0	0
SiC3	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC3_1Sigma.xyz	-402.898840	0.0	0
HSNC	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSNC_1Ap.xyz	-490.979789	0.0	0
SiH2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH2_1A1.xyz	-290.174397	0.0	0
HCS	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCS_2Ap.xyz	-436.287710	0.0	0
CCl	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CCl_2Pi.xyz	-497.607448	0.0	0
HSSH	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSSH_1A1.xyz	-796.687569	0.0	0
PN	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PN_1Sigma.xyz	-395.557118	0.0	0
LiH	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/LiH_1Sigma.xyz	-8.023143	0.0	0
H2CSi	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2CSi_1A1.xyz	-328.207983	0.0	0
HPO	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HPO_1Ap.xyz	-416.626662	0.0	0
SiC	ERROR	3Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC_3Pi.xyz	-326.869358	0.0	0
SO2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SO2_1A1.xyz	-548.006271	0.0	0
HCl	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCl_1Sigma.xyz	-460.345710	0.0	0
HSiS	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSiS_2Ap.xyz	-687.364249	0.0	0
HS	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HS_2Pi.xyz	-398.293091	0.0	0
PH2	ERROR	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PH2_2B1.xyz	-342.061689	0.0	0
SiH	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH_2Pi.xyz	-289.548950	0.0	0
HS2	ERROR	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HS2_2App.xyz	-796.063375	0.0	0
C4S	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4S_3Sigma.xyz	-549.648109	0.0	0
SiS	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiS_1Sigma.xyz	-686.814157	0.0	0
HNSi	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNSi_1Sigma.xyz	-344.317825	0.0	0
NS	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NS_2Pi.xyz	-452.342244	0.0	0
SiC6H	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC6H_2Pi.xyz	-517.409738	0.0	0
SiCH3	ERROR	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiCH3_2App.xyz	-328.807190	0.0	0
OCl	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OCl_2Pi.xyz	-534.751156	0.0	0
HSCN	ERROR	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HSCN_1Ap.xyz	-491.027304	0.0	0
NaH	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NaH_1Sigma.xyz	-162.428478	0.0	0
PO	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PO_2Pi.xyz	-416.016734	0.0	0
HCP	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCP_1Sigma.xyz	-379.491774	0.0	0
