name	formula	ID	Na	Mass	state_woon	multiplicity_woon	energy(kJ/mol)_woon	spin_input_xtb	energy(kJ/mol)_xtb	pwd_xyz_woon	pwd_xyz_xtb
H	H1	H1_0	1	1.00784	1Sigma	1	-1312.2520212974064	0.5	-1033.0896786510627	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H_1Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/H1/H1_0/H1_0.xtbopt.xyz
C	C1	C1_0	1	12.0107	3Pi	3	-99193.45611463606	0.0	-4713.065776810578	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C_3Pi.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/C1/C1_0/C1_0.xtbopt.xyz
N	N1	N1_0	1	14.0067	4Sigma	4	-143128.45771630394	0.5	-6851.121942977629	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N_4Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/N1/N1_0/N1_0.xtbopt.xyz
O	O1	O1_0	1	15.999	3Sigma	3	-196844.26717987825	0.0	-9896.62162443879	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O_3Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/O1/O1_0/O1_0.xtbopt.xyz
H2	H2	H2_0	2	2.01568	1Sigma	1	-3078.757850475392	0.0	-2580.0424535439342	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2_1Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/H2/H2_0/H2_0.xtbopt.xyz
CH	H1C1	H1C1_0	2	13.01854	2Pi	2	-100852.50278337374	0.5	-6251.102485629906	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH_2Pi.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/H1C1/H1C1_0/H1C1_0.xtbopt.xyz
NH	H1N1	H1N1_0	2	15.01454	3Sigma	3	-144782.69971686974	0.0	-8413.109096044313	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH_3Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/H1N1/H1N1_0/H1N1_0.xtbopt.xyz
OH	H1O1	H1O1_0	2	17.00684	2Pi	2	-198607.123561647	0.5	-11626.705754402454	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OH_2Pi.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/H1O1/H1O1_0/H1O1_0.xtbopt.xyz
C2	C2	C2_0	2	24.0214	1Sigma	1	-198977.26942150286	0.0	-10621.964202291743	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2_1Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/C2/C2_0/C2_0.xtbopt.xyz
CN	C1N1	C1N1_0	2	26.0174	2Sigma	2	-243047.38196786566	0.5	-12854.387667171362	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CN_2Sigma.xyz	/Users/tinaccil/Documents/GitHub/molecules_database/molecules/C1N1/C1N1_0/C1N1_0.xtbopt.xyz
