R1	R2	R3	P1	P2	P3	P4	P5	ID_kida	Reaction_Energy(kJ/mol)_Woon	Reaction_Energy(kJ/mol)_xtb	Reaction_Image
C2_0	H1C1N1_0		H1_0	C3N1_6				0	5.860119868675946	149.31227246424803	reaction_0
C2_0	H1C1N1_1		H1_0	C3N1_6				0	-56.2513746348637	65.5408330668808	reaction_1
O1_0	H2C1_0		H1_0	H1C1O1_0				1	-362.8023315079199	-660.9314946348358	reaction_2
O1_0	H2C1_0		C1O1_0	H2_0				2	-737.8815091204675	-965.2214923699677	reaction_3
O1_0	H2C1_0		C1O1_0	H1_0	H1_0			3	-283.627701239878	-451.35839612815835	reaction_4
O1_0	H1C1O1_0		H1_0	C1O2_1				4	-457.5803185765432	-885.7359738241206	reaction_5
O1_0	H1C1O1_0		C1O1_0	H1O1_0				5	-371.4297302032862	-487.4213528059252	reaction_6
O1_0	H1C1N1_0		C1O1_0	H1N1_0				6	-136.10075884832713	-138.48064663258396	reaction_7
O1_0	H1C1N1_1		C1O1_0	H1N1_0				6	-198.21225335194146	-222.25208602995116	reaction_8
O1_0	H1C1N1_0		C1N1_0	H1O1_0				7	99.62991427177552	-133.53654656242242	reaction_9
O1_0	H1C1N1_1		C1N1_0	H1O1_0				7	37.51841976816125	-217.3079859597897	reaction_10
O1_0	H1N1O1_1		N1O1_0	H1O1_0				8	-230.193489964697	-352.69681400236647	reaction_11
O1_0	H2N1_0		H1N1_0	H1O1_0				9	-43.454679187058545	-142.85272653183762	reaction_12
O1_0	H2N1_0		H1_0	H1N1O1_1				10	-94.35790679143057	-441.3355376455143	reaction_13
O1_0	N1O2_0		N1O1_0	O2_0				11	-198.79511473689377	-156.40191581062055	reaction_14
O1_0	H1O2_0		O2_0	H1O1_0				12	-225.91392213962794	-278.5073744714608	reaction_15
O1_0	C1N1O1_1		C1O1_0	N1O1_0				13	-400.7460825567271	-410.80242647857733	reaction_16
O1_0	C3_0		C2_0	C1O1_0				14	-356.9369606357534	-804.8621226991019	reaction_17
O1_0	H3C2_0		H1O1_0	H2C2_0				15	-279.08820874312687	-533.6329458641046	reaction_18
O1_0	H3C2_0		H1_0	H2C2O1_1				16	-361.31104652342873	-734.5442741477887	reaction_19
O1_0	H1C3_1		C1O1_0	H1C2_0				17	-493.23463211417436	-728.1038021178972	reaction_20
O1_0	H1C3_2		C1O1_0	H1C2_0				17	-485.80183670729537	-785.2009117990286	reaction_21
O1_0	H1C3_1		H1_0	C3O1_1				18	-410.5812120496614	-744.0928756315732	reaction_22
O1_0	H1C3_2		H1_0	C3O1_1				18	-403.1484166427823	-801.189985312704	reaction_23
O1_0	C3N1_6		C1O1_0	C2N1_0				19	-405.448356161126	-481.61451998132577	reaction_24
O1_0	C3O1_1		C1O1_0	C2O1_1				20	-317.78285328780083	-430.11607507913607	reaction_25
O1_0	C3O1_1		O2_0	C3_0				21	231.4694838069707	219.14442313034831	reaction_26
O1_0	C4_3		C1O1_0	C3_0				22	-636.9204654699726	-638.9789878538522	reaction_27
O1_0	H3C1_0		H1_0	C1O1_0	H2_0			23	-255.13838193237584	-434.8548628198709	reaction_28
O1_0	H3C1_0		H1_0	H2C1O1_0				24	-276.4154479786697	-621.5603760918707	reaction_29
O1_0	H2C1N1_1		H1O1_0	H1C1N1_0				25	-322.5665174457252	-540.6484686001603	reaction_30
O1_0	H2C1N1_1		H1O1_0	H1C1N1_1				25	-260.4550229421854	-456.877029202793	reaction_31
O1_0	H2C3_1		C1O1_0	H2C2_0				26	-688.1912633168927	-883.207168923244	reaction_32
O1_0	H2C3_2		C1O1_0	H2C2_0				26	-681.4227198485661	-884.5131690315525	reaction_33
O1_0	H2C3_3		C1O1_0	H2C2_0				26	-624.8405319952523	-829.0981150998161	reaction_34
O1_0	C5_1		C1O1_0	C4_3				27	-331.42758579554436	-588.9334520275204	reaction_35
O1_0	H1C4_5		C1O1_0	H1C3_1				28	-440.9005060652101	-543.0397462204484	reaction_36
O1_0	H1C4_5		C1O1_0	H1C3_2				28	-448.33330147201457	-485.94263653931716	reaction_37
O1_0	C4N1_23		C1O1_0	C3N1_6				29	-508.7565983612303	-705.3311192298057	reaction_38
H1C1_0	N1O1_0		C1N1_0	H1O1_0				30	-206.19115311930162	-302.17026899581816	reaction_39
H1C1_0	N1O1_0		N1_0	H1C1O1_0				31	-179.10647723908818	12.21000684296654	reaction_40
H1C1_0	N1O1_0		O1_0	H1C1N1_0				32	-305.8210673910771	-168.63372243339566	reaction_41
H1C1_0	N1O1_0		O1_0	H1C1N1_1				32	-243.70957288746285	-84.86228303602843	reaction_42
H1C1_0	O2_0		C1O1_0	H1O1_0				33	-668.3871037428172	-689.3398270516502	reaction_43
H1C1_0	O2_0		O1_0	H1C1O1_0				34	-296.95737353953115	-201.91847424572512	reaction_44
H1C1_0	H1N1O1_1		N1O1_0	H2C1_0				35	-218.97997206192687	-162.63796074363302	reaction_45
H1C1_0	H2C2_0		H1_0	H2C3_1				36	-34.8272804915804	-75.08682525877649	reaction_46
H1C1_0	H2C2_0		H1_0	H2C3_2				36	-41.59582395990713	-73.78082515047038	reaction_47
