name	formula	state	pwd_xyz	energy	Mass	Na	ID
H	H1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H_1Sigma.xyz	-0.49981000000000003	1.00784	1	H1_0
C	C1	3Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C_3Pi.xyz	-37.780762	12.0107	1	C1_0
N	N1	4Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N_4Sigma.xyz	-54.514706999999994	14.0067	1	N1_0
O	O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O_3Sigma.xyz	-74.973962	15.999	1	O1_0
H2	H2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2_1Sigma.xyz	-1.172636	2.01568	2	H2_0
CH	H1C1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH_2Pi.xyz	-38.412659000000005	13.01854	2	H1C1_0
NH	H1N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH_3Sigma.xyz	-55.144774	15.01454	2	H1N1_0
OH	H1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OH_2Pi.xyz	-75.645398	17.00684	2	H1O1_0
C2	C2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2_1Sigma.xyz	-75.78637900000001	24.0214	2	C2_0
CN	C1N1	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CN_2Sigma.xyz	-92.57178499999999	26.0174	2	C1N1_0
CO	C1O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CO_1Sigma.xyz	-113.162194	28.0097	2	C1O1_0
N2	N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N2_1Sigma.xyz	-109.380845	28.0134	2	N2_0
NO	N1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NO_2Pi.xyz	-129.72599	30.0057	2	N1O1_0
O2	O2	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O2_3Sigma.xyz	-150.14035800000002	31.998	2	O2_0
CH2	H2C1	3B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2_3B1.xyz	-39.079824	14.02638	3	H2C1_0
NH2	H2N1	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH2_2B1.xyz	-55.799659	16.022380000000002	3	H2N1_0
H2O	H2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2O_1A1.xyz	-76.342326	18.01468	3	H2O1_0
C2H	H1C2	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H_2Sigma.xyz	-76.462316	25.029239999999998	3	H1C2_0
HNC	H1C1N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNC_1Sigma.xyz	-93.257511	27.025240000000004	3	H1C1N1_1
HCN	H1C1N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCN_1Sigma.xyz	-93.28116800000001	27.025240000000004	3	H1C1N1_0
HCO	H1C1O1	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCO_2Ap.xyz	-113.69216000000002	29.017540000000004	3	H1C1O1_0
HNO	H1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNO_1Ap.xyz	-130.30975	31.013540000000003	3	H1N1O1_1
HO2	H1O2	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HO2_2App.xyz	-150.725748	33.00584	3	H1O2_0
C3	C3	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3_1Sigma.xyz	-113.83866100000002	36.0321	3	C3_0
C2N	C2N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2N_2Pi.xyz	-130.5317	38.0281	3	C2N1_0
C2O	C2O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2O_3Sigma.xyz	-151.026024	40.0204	3	C2O1_1
NCO	C1N1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NCO_2Pi.xyz	-167.76158600000002	42.0164	3	C1N1O1_1
CO2	C1O2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CO2_1Sigma.xyz	-188.340595	44.00870000000001	3	C1O2_1
N2O	N2O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N2O_1Sigma.xyz	-184.42045900000002	44.0124	3	N2O1_1
