R1	R2	R3	P1	P2	P3	P4	P5	ID	Reaction_Energy
C2_0	H1C1N1_0		H1_0	C3N1_0				0	0.17282391733699853
C2_0	H1C1N1_0		H1_0	C3N1_1				0	0.24339857403699838
C2_0	H1C1N1_0		H1_0	C3N1_2				0	0.11392300864299898
C2_0	H1C1N1_0		H1_0	C3N1_3				0	0.17708908173999838
C2_0	H1C1N1_0		H1_0	C3N1_4				0	0.1770907416139984
C2_0	H1C1N1_0		H1_0	C3N1_5				0	0.16294523091099933
C2_0	H1C1N1_0		H1_0	C3N1_6				0	0.05686999576999874
C2_0	H1C1N1_0		H1_0	C3N1_7				0	0.09005735622599786
C2_0	H1C1N1_0		H1_0	C3N1_8				0	0.15925261821799808
C2_0	H1C1N1_1		H1_0	C3N1_0				0	0.14091708660199842
C2_0	H1C1N1_1		H1_0	C3N1_1				0	0.21149174330199827
C2_0	H1C1N1_1		H1_0	C3N1_2				0	0.08201617790799887
C2_0	H1C1N1_1		H1_0	C3N1_3				0	0.14518225100499826
C2_0	H1C1N1_1		H1_0	C3N1_4				0	0.1451839108789983
C2_0	H1C1N1_1		H1_0	C3N1_5				0	0.13103840017599921
C2_0	H1C1N1_1		H1_0	C3N1_6				0	0.024963165034998624
C2_0	H1C1N1_1		H1_0	C3N1_7				0	0.05815052549099775
C2_0	H1C1N1_1		H1_0	C3N1_8				0	0.12734578748299796
O1_0	H2C1_0		H1_0	H1C1O1_0				1	-0.2517353107270006
O1_0	H2C1_0		H1_0	H1C1O1_1				1	-0.1819566092340006
O1_0	H2C1_0		C1O1_0	H2_0				2	-0.3676331575580001
O1_0	H2C1_0		C1O1_0	H1_0	H1_0			3	-0.17191319678499983
O1_0	H1C1O1_0		H1_0	C1O2_0				4	0.053136797218998666
O1_0	H1C1O1_0		H1_0	C1O2_1				4	-0.3373587465610015
O1_0	H1C1O1_0		H1_0	C1O2_2				4	-0.09665194936200194
O1_0	H1C1O1_1		H1_0	C1O2_0				4	-0.016641904274001362
O1_0	H1C1O1_1		H1_0	C1O2_1				4	-0.40713744805400154
O1_0	H1C1O1_1		H1_0	C1O2_2				4	-0.16643065085500197
O1_0	H1C1O1_0		C1O1_0	H1O1_0				5	-0.18564884061300013
O1_0	H1C1O1_1		C1O1_0	H1O1_0				5	-0.25542754210600016
O1_0	H1C1N1_0		C1O1_0	H1N1_0				6	-0.05274445066200073
O1_0	H1C1N1_1		C1O1_0	H1N1_0				6	-0.08465128139700084
O1_0	H1C1N1_0		C1N1_0	H1O1_0				7	-0.05086134389899932
O1_0	H1C1N1_1		C1N1_0	H1O1_0				7	-0.08276817463399944
O1_0	H1N1O1_0		N1O1_0	H1O1_0				8	-0.18703517240899892
O1_0	H1N1O1_1		N1O1_0	H1O1_0				8	-0.13433501472700016
O1_0	H2N1_0		H1N1_0	H1O1_0				9	-0.05440968662199985
O1_0	H2N1_0		H1_0	H1N1O1_0				10	-0.11539553696399985
O1_0	H2N1_0		H1_0	H1N1O1_1				10	-0.1680956946459995
O1_0	N1O2_0		N1O1_0	O2_0				11	-0.05957029615699838
O1_0	N1O2_1		N1O1_0	O2_0				11	-0.17478810807000045
O1_0	N1O2_2		N1O1_0	O2_0				11	-0.18661237108599948
O1_0	H1O2_0		O2_0	H1O1_0				12	-0.10607777208600133
O1_0	C1N1O1_0		C1O1_0	N1O1_0				13	-0.2540830378729986
O1_0	C1N1O1_1		C1O1_0	N1O1_0				13	-0.156466256058998
O1_0	C1N1O1_2		C1O1_0	N1O1_0				13	-0.4353389887290007
O1_0	C1N1O1_3		C1O1_0	N1O1_0				13	-0.3007777800999989
O1_0	C3_0		C2_0	C1O1_0				14	-0.3065555480329998
O1_0	C3_1		C2_0	C1O1_0				14	-0.38495613354099945
O1_0	H3C2_0		H1O1_0	H2C2_0				15	-0.2032498928129982
O1_0	H3C2_0		H1O1_0	H2C2_1				15	-0.1165321832189985
O1_0	H3C2_1		H1O1_0	H2C2_0				15	-0.28083404381999877
O1_0	H3C2_1		H1O1_0	H2C2_1				15	-0.19411633422599905
O1_0	H3C2_0		H1_0	H2C2O1_0				16	-0.2402823237990006
O1_0	H3C2_0		H1_0	H2C2O1_1				16	-0.279772915341999
O1_0	H3C2_0		H1_0	H2C2O1_2				16	-0.060972616828999904
O1_0	H3C2_0		H1_0	H2C2O1_3				16	-0.010336230550999304
O1_0	H3C2_0		H1_0	H2C2O1_4				16	-0.1194473901080002
O1_0	H3C2_0		H1_0	H2C2O1_5				16	-0.1280790544469994
O1_0	H3C2_0		H1_0	H2C2O1_6				16	-0.1780988592840007
O1_0	H3C2_0		H1_0	H2C2O1_7				16	-0.18898101448099958
O1_0	H3C2_0		H1_0	H2C2O1_8				16	-0.06498999951899975
O1_0	H3C2_1		H1_0	H2C2O1_0				16	-0.31786647480600116
O1_0	H3C2_1		H1_0	H2C2O1_1				16	-0.35735706634899955
O1_0	H3C2_1		H1_0	H2C2O1_2				16	-0.13855676783600046
O1_0	H3C2_1		H1_0	H2C2O1_3				16	-0.08792038155799986
O1_0	H3C2_1		H1_0	H2C2O1_4				16	-0.19703154111500076
O1_0	H3C2_1		H1_0	H2C2O1_5				16	-0.20566320545399996
O1_0	H3C2_1		H1_0	H2C2O1_6				16	-0.25568301029100127
O1_0	H3C2_1		H1_0	H2C2O1_7				16	-0.26656516548800013
O1_0	H3C2_1		H1_0	H2C2O1_8				16	-0.1425741505260003
O1_0	H1C3_0		C1O1_0	H1C2_0				17	-0.3691084302109999
O1_0	H1C3_1		C1O1_0	H1C2_0				17	-0.277319871053999
O1_0	H1C3_2		C1O1_0	H1C2_0				17	-0.29906699426399896
O1_0	H1C3_0		H1_0	C3O1_0				18	-0.22098359054000127
O1_0	H1C3_0		H1_0	C3O1_1				18	-0.37519834183100187
O1_0	H1C3_0		H1_0	C3O1_2				18	-0.2501643823990012
O1_0	H1C3_0		H1_0	C3O1_3				18	-0.2627712490800018
O1_0	H1C3_0		H1_0	C3O1_4				18	-0.22098347280500086
O1_0	H1C3_0		H1_0	C3O1_5				18	-0.2771060586470018
O1_0	H1C3_1		H1_0	C3O1_0				18	-0.12919503138300037
O1_0	H1C3_1		H1_0	C3O1_1				18	-0.28340978267400097
O1_0	H1C3_1		H1_0	C3O1_2				18	-0.15837582324200028
