R1	R2	R3	P1	P2	P3	P4	P5	ID	Reaction_Energy	Reaction_Energy(KJ/mol)	Reaction_Energy(K)	Bool_Reactant
C2_0	H1C1N1_0		H1_0	C3N1_0				0	0.17282391733699853	453.7494945159405	54573.52370587395	True
C2_0	H1C1N1_0		H1_0	C3N1_1				0	0.2433985740369984	639.0433780055573	76859.25683701863	True
C2_0	H1C1N1_0		H1_0	C3N1_2				0	0.11392300864299898	299.10505664964154	35974.07181032692	True
C2_0	H1C1N1_0		H1_0	C3N1_3				0	0.17708908173999838	464.94769104862746	55920.35725902551	True
C2_0	H1C1N1_0		H1_0	C3N1_4				0	0.1770907416139984	464.9520490506915	55920.8814062297	True
C2_0	H1C1N1_0		H1_0	C3N1_5				0	0.16294523091099933	427.8129861822122	51454.07857258887	True
C2_0	H1C1N1_0		H1_0	C3N1_6				0	0.05686999576999874	149.31227246424803	17958.139765198765	True
C2_0	H1C1N1_0		H1_0	C3N1_7				0	0.09005735622599786	236.44574486358073	28437.88834680968	True
C2_0	H1C1N1_0		H1_0	C3N1_8				0	0.15925261821799808	418.1180251565038	50288.04270531269	True
C2_0	H1C1N1_1		H1_0	C3N1_0				0	0.14091708660199842	369.97805511857325	44498.13477634029	True
C2_0	H1C1N1_1		H1_0	C3N1_1				0	0.21149174330199827	555.27193860819	66783.86790748496	True
C2_0	H1C1N1_1		H1_0	C3N1_2				0	0.08201617790799888	215.33361725227434	25898.682880793258	True
C2_0	H1C1N1_1		H1_0	C3N1_3				0	0.14518225100499824	381.1762516512602	45844.96832949184	True
C2_0	H1C1N1_1		H1_0	C3N1_4				0	0.1451839108789983	381.1806096533243	45845.49247669604	True
C2_0	H1C1N1_1		H1_0	C3N1_5				0	0.1310384001759992	344.0415467848449	41378.68964305519	True
C2_0	H1C1N1_1		H1_0	C3N1_6				0	0.024963165034998624	65.5408330668808	7882.7508356651	True
C2_0	H1C1N1_1		H1_0	C3N1_7				0	0.05815052549099775	152.6743054662135	18362.499417276013	True
C2_0	H1C1N1_1		H1_0	C3N1_8				0	0.12734578748299796	334.34658575913653	40212.65377577902	True
O1_0	H2C1_0		H1_0	H1C1O1_0				1	-0.2517353107270006	-660.9314946348358	-79491.79233553013	True
O1_0	H2C1_0		H1_0	H1C1O1_1				1	-0.1819566092340006	-477.7273929207891	-57457.402195722214	True
O1_0	H2C1_0		C1O1_0	H2_0				2	-0.3676331575580001	-965.2214923699676	-116089.46925982952	True
O1_0	H2C1_0		C1O1_0	H1_0	H1_0			3	-0.17191319678499986	-451.3583961281584	-54285.9406537145	True
O1_0	H1C1O1_0		H1_0	C1O2_0				4	0.053136797218998666	139.51075319801808	16779.287886587164	True
O1_0	H1C1O1_0		H1_0	C1O2_1				4	-0.3373587465610015	-885.7359738241206	-106529.55815675925	True
