R1	R2	R3	P1	P2	P3	P4	P5	ID	Reaction_Energy	Reaction_Energy_Woon	Reaction_Energy_Woon(kJ/mol)	Reaction_Energy(kJ/mol)
C2_0	H1C1N1_0	nan	H1_0	C3N1_6	nan	nan	nan	0	0.05686999576999874	0.002232000000020662	5.860119868675946	149.31227246424803
C2_0	H1C1N1_1	nan	H1_0	C3N1_6	nan	nan	nan	0	0.024963165034998624	-0.021424999999965166	-56.251374634863694	65.5408330668808
O1_0	H2C1_0	nan	H1_0	H1C1O1_0	nan	nan	nan	1	-0.2517353107270006	-0.13818400000000963	-362.8023315079199	-660.9314946348358
O1_0	H2C1_0	nan	C1O1_0	H2_0	nan	nan	nan	2	-0.3676331575580001	-0.2810439999999943	-737.8815091204675	-965.2214923699676
O1_0	H2C1_0	nan	C1O1_0	H1_0	H1_0	nan	nan	3	-0.17191319678499986	-0.10802799999999024	-283.627701239878	-451.3583961281584
O1_0	H1C1O1_0	nan	H1_0	C1O2_1	nan	nan	nan	4	-0.3373587465610015	-0.1742829999999742	-457.5803185765432	-885.7359738241206
O1_0	H1C1O1_0	nan	C1O1_0	H1O1_0	nan	nan	nan	5	-0.18564884061300013	-0.1414699999999698	-371.42973020328617	-487.4213528059252
O1_0	H1C1N1_0	nan	C1O1_0	H1N1_0	nan	nan	nan	6	-0.05274445066200073	-0.05183799999997518	-136.10075884832713	-138.48064663258396
O1_0	H1C1N1_1	nan	C1O1_0	H1N1_0	nan	nan	nan	6	-0.08465128139700084	-0.07549499999998943	-198.2122533519414	-222.2520860299512
O1_0	H1C1N1_0	nan	C1N1_0	H1O1_0	nan	nan	nan	7	-0.050861343898999316	0.03794700000000262	99.62991427177552	-133.53654656242244
O1_0	H1C1N1_1	nan	C1N1_0	H1O1_0	nan	nan	nan	7	-0.08276817463399944	0.014289999999988368	37.51841976816125	-217.3079859597897
O1_0	H1N1O1_1	nan	N1O1_0	H1O1_0	nan	nan	nan	8	-0.13433501472700016	-0.08767599999998765	-230.193489964697	-352.6968140023665
O1_0	H2N1_0	nan	H1N1_0	H1O1_0	nan	nan	nan	9	-0.05440968662199985	-0.016550999999992655	-43.45467918705855	-142.85272653183762
O1_0	H2N1_0	nan	H1_0	H1N1O1_1	nan	nan	nan	10	-0.1680956946459995	-0.035939000000013266	-94.35790679143054	-441.33553764551425
O1_0	N1O2_0	nan	N1O1_0	O2_0	nan	nan	nan	11	-0.059570296156998374	-0.07571700000005421	-198.79511473689377	-156.40191581062052
O1_0	H1O2_0	nan	O2_0	H1O1_0	nan	nan	nan	12	-0.10607777208600133	-0.0860460000000387	-225.91392213962794	-278.5073744714608
O1_0	C1N1O1_1	nan	C1O1_0	N1O1_0	nan	nan	nan	13	-0.15646625605899803	-0.15263599999994426	-400.7460825567271	-410.80242647857733
O1_0	C3_0	nan	C2_0	C1O1_0	nan	nan	nan	14	-0.3065555480329998	-0.1359499999999798	-356.93696063575345	-804.8621226991019
O1_0	H3C2_0	nan	H1O1_0	H2C2_0	nan	nan	nan	15	-0.2032498928129982	-0.10629900000000703	-279.08820874312687	-533.6329458641046
O1_0	H3C2_0	nan	H1_0	H2C2O1_1	nan	nan	nan	16	-0.279772915341999	-0.1376160000000084	-361.31104652342873	-734.5442741477888
O1_0	H1C3_1	nan	C1O1_0	H1C2_0	nan	nan	nan	17	-0.27731987105399897	-0.187862999999993	-493.23463211417436	-728.1038021178974
O1_0	H1C3_2	nan	C1O1_0	H1C2_0	nan	nan	nan	17	-0.29906699426399896	-0.18503199999997832	-485.80183670729537	-785.2009117990286
O1_0	H1C3_1	nan	H1_0	C3O1_1	nan	nan	nan	18	-0.28340978267400097	-0.1563820000000078	-410.58121204966136	-744.092875631573
O1_0	H1C3_2	nan	H1_0	C3O1_1	nan	nan	nan	18	-0.3051569058840009	-0.1535509999999931	-403.1484166427823	-801.189985312704
O1_0	C3N1_6	nan	C1O1_0	C2N1_0	nan	nan	nan	19	-0.1834371365599985	-0.15442699999999832	-405.448356161126	-481.61451998132577
O1_0	C3O1_1	nan	C1O1_0	C2O1_1	nan	nan	nan	20	-0.16382243044499845	-0.12103700000000117	-317.78285328780083	-430.11607507913607
O1_0	C3O1_1	nan	O2_0	C3_0	nan	nan	nan	21	0.0834676360540012	0.08816199999995433	231.4694838069707	219.1444231303483
O1_0	C4_3	nan	C1O1_0	C3_0	nan	nan	nan	22	-0.2433740491429983	-0.24259000000000697	-636.9204654699726	-638.9789878538522
O1_0	H3C1_0	nan	H1_0	C1O1_0	H2_0	nan	nan	23	-0.16562733793399964	-0.09717700000000207	-255.13838193237586	-434.85486281987085
