formula	E_tot	H(0K)	Spin	pwd_struct	Mass	Na	ID
H1	-0.393482763910	-0.39348276391	0.5	molecules/H1/H1_0.xtbopt.xyz	1.00784	1	H1_0
C1	-1.795110518160	-1.79511051816	0.0	molecules/C1/C1_0.xtbopt.xyz	12.0107	1	C1_0
N1	-2.609452454822	-2.609452454822	0.5	molecules/N1/N1_0.xtbopt.xyz	14.0067	1	N1_0
O1	-3.769421097344	-3.769421097344	0.0	molecules/O1/O1_0.xtbopt.xyz	15.999	1	O1_0
H2	-0.982685488593	-0.9741670784809999	0.0	molecules/H2/H2_0.xtbopt.xyz	2.01568	2	H2_0
H1C1	-2.380917295333	-2.374628599853	0.5	molecules/H1C1/H1C1_0.xtbopt.xyz	13.01854	2	H1C1_0
H1N1	-3.204381467164	-3.196907851912	0.0	molecules/H1N1/H1N1_0.xtbopt.xyz	15.01454	2	H1N1_0
H1O1	-4.428374815809	-4.4202422592929995	0.5	molecules/H1O1/H1O1_0.xtbopt.xyz	17.00684	2	H1O1_0
C2	-4.045689274457	-4.040266867898	0.0	molecules/C2/C2_0.xtbopt.xyz	24.0214	2	C2_0
C1N1	-4.895973788310	-4.890574981359	0.5	molecules/C1N1/C1N1_0.xtbopt.xyz	26.017400000000002	2	C1N1_0
C1O1	-6.121850243718	-6.116788112698	0.0	molecules/C1O1/C1O1_0.xtbopt.xyz	28.009700000000002	2	C1O1_0
N2	-5.763935392238	-5.758384140671001	0.0	molecules/N2/N2_0.xtbopt.xyz	28.0134	2	N2_0
N1O1	-6.828340823349	-6.823891850472	0.5	molecules/N1O1/N1O1_0.xtbopt.xyz	30.0057	2	N1O1_0
O2	-7.906752299720	-7.903038191145	0.0	molecules/O2/O2_0.xtbopt.xyz	31.998	2	O2_0
H2C1	-2.967481477409	-2.951219914873	0.0	molecules/H2C1/H2C1_0.xtbopt.xyz	14.02638	3	H2C1_0
H2N1	-3.808925499007	-3.790465560842	0.5	molecules/H2N1/H2N1_0.xtbopt.xyz	16.022380000000002	3	H2N1_0
H2O1	-5.070544095033	-5.050425709926	0.0	molecules/H2O1/H2O1_0.xtbopt.xyz	18.014680000000002	3	H2O1_0
H1C2	-4.577904319800	-4.563714951061	0.5	molecules/H1C2/H1C2_0.xtbopt.xyz	25.02924	3	H1C2_0
H1C1N1	-5.504066162876	-5.487807876418	0.0	molecules/H1C1N1/H1C1N1_0.xtbopt.xyz	27.02524	3	H1C1N1_0
H1C1N1	-5.472159332141	-5.456413684720999	0.0	molecules/H1C1N1/H1C1N1_1.xtbopt.xyz	27.02524	3	H1C1N1_1
H1C1O1	-6.595155121570	-6.582062613857	0.5	molecules/H1C1O1/H1C1O1_1.xtbopt.xyz	29.01754	3	H1C1O1_0
H1C1O1	-6.525376420077	-6.513179661314	0.5	molecules/H1C1O1/H1C1O1_0.xtbopt.xyz	29.01754	3	H1C1O1_1
H1N1O1	-7.300259369405	-7.288125450170001	0.0	molecules/H1N1O1/H1N1O1_0.xtbopt.xyz	31.01354	3	H1N1O1_0
